0,,Артикул,Наименование,"РРЦ Wildberries, руб","РРЦ, руб","Кол-во в упаковке, шт","Вес, кг","Объем, м3",Штрихкод
1,,,,,,,,,
2,,, P.I.T.черный,,,,,,
3,,,Аккумуляторный инструмент OnePower,,,,,,
4,,,Аккумуляторы и зарядные устройства,,,,,,
5,,PH20-2.4A,"Зарядное устройство OnePower PH20-2.4A  P.I.T. (6-21В, 52Вт, для всех АКБ системы OnePower)",1000,930,30,0.53,0.001,6926619724363
6,,PH20-4.0,"Аккумулятор OnePower PH20-4.0 P.I.T. (20В, 4Ач, Li-Ion)",3805,3555,20,0.78,0.001,6971810444626
7,,PH20-2.0,"Аккумулятор OnePower PH20-2.0 P.I.T. (20В, 2Ач, Li-Ion)",2305,2150,0,0.53,0.001,6971810444619
8,,PH20-4.0_zip,"Аккумулятор OnePower PH20-4.0 P.I.T. (20В, 4Ач, Li-Ion, zip-пак)",3695,3450,0,0,0,
9,,PH20-3.0A_zip,"Зарядное устройство OnePower PH20-3.0A  P.I.T. (6-21В, 75Вт, для всех АКБ системы OnePower, zip-пак)",0,0,0,0.34,0.001,
10,,PH20-3.0A,"Зарядное устройство OnePower PH20-3.0A  P.I.T. (6-21В, 75Вт, для всех АКБ системы OnePower)",1065,995,30,0.34,0.001,6971810444589
11,,PH20-3.0,"Аккумулятор OnePower PH20-3.0 P.I.T. (20В, 3Ач, Li-Ion)",2720,2540,20,0.78,0.001,6971810444596
12,,,Шлифмашины угловые,,,,,,
13,,PWS20H-125A,"Аккум. бесщет. шлифмаш. PWS20H-125A SOLO (20В, 125мм, Li-Ion, 7000об/мин,коробка)",4945,4620,8,1.72,0.004,6971810444497
14,,PWS20H-125C,"Аккум. угловая шлифмашина PWS20H-125C SOLO (20В, 125мм, Li-Ion, 8500об/мин,коробка)",4495,4200,8,1.92,0.005,6971810444510
15,,PWS20H-125B,"Аккум. бесщет. шлифмаш. PWS20H-125B SOLO (20В, 125мм, Li-Ion, 4500/6500/8000 об/мин, коробка)",5440,5080,8,1.88,0.004,6971810444503
16,,PWS20H-125A_case,"Аккум. бесщет. шлифмаш. PWS20H-125A SOLO CASE (20В, 125мм, Li-Ion, 7000об/мин,кейс)",4650,4345,0,0,0,
17,,PWS20H-125B/1,"Аккум. бесщет. шлифмаш. PWS20H-125B/1 (20В,125мм, 4500/6500/8000об/мин,1акб Li-Ion 4Ач, ЗУ 3А, кейс)",10700,10000,6,0,0,6971810444756
18,,PWS20H-125A/1,"Аккум. бесщет. шлифмаш. PWS20H-125A/1(20В,125мм,7000об/мин,1акб Li-Ion 4Ач, ЗУ 3А, кейс)",10100,9435,4,3.8,0.016,6971810444749
19,,PWS20H-125C/1,"Аккум. угловая шлифмашина PWS20H-125C/1 (20В,125мм, Li-Ion, 8500об/мин, 1акб Li-Ion 4Ач, ЗУ 3А,кейс)",10130,9465,4,4.36,0.016,6971810444763
20,,,Пилы,,,,,,
21,,PKS20H-165A,"Пила циркулярная аккумуляторная PKS20H-165A SOLO (20В,диск 165мм,пропил 52мм, 4300об/мин,коробка)",5665,5290,4,2.92,0.013,6971810444534
22,,PSA20H-115A,"Пила сабельная аккумуляторная PSA20H-115A SOLO (20В,0-2700ход/мин,БЗП,пропил115мм, ход 22мм,коробка)",3890,3635,6,1.84,0.007,6971810444480
23,,PKS20H-165A/1,"Пила циркулярная аккум PKS20H-165A/1 (20В,диск 165мм,пропил 52мм, 4300об/мин, 1АКБLi-Ion 4Ач ЗУ кор)",10005,9350,4,4.04,0.015,6926619700053
24,,PSA20H-115A/1,"Пила сабельная аккум PSA20H-115A/1 (20В,0-2700ход/м,БЗП,пропил115мм, ход 22мм,1АКБLi-ion 2Ач ЗУ кор)",7345,6860,6,2.58,0.006,6926619700046
25,,,Перфораторы,,,,,,
26,,PBH20H-22A,"Аккум. перфоратор бесщеточный PBH20H-22A SOLO (20В,1,5Дж,2-х реж,бур 24мм, sds-plus,коробка)",9795,9150,5,3.06,0.008,6971810444411
27,,PBH20H-16A,"Аккум. перфоратор PBH20H-16A SOLO (20В, 1,2Дж, 2-х реж. макс.бур 16мм, sds-plus, коробка)",4105,3835,8,1.64,0.005,6971810444404
28,,PBH20H-22B/1,"Аккум. перфоратор бесщеточный PBH20H-22B/1 (20В,1,8Дж,3-х реж,бур 22мм,1акб Li-Ion 4Ач, ЗУ 3А,кейс)",14725,13760,3,5,0.017,6926619700022
29,,PBH20H-22B,"Аккум. перфоратор бесщеточный PBH20H-22B SOLO (20В,1,8Дж,3-х реж,бур 22мм, sds-plus,коробка)",8990,8400,5,2.54,0.007,6926619700015
30,,PBH20H-18A/1,"Аккум. перфоратор PBH20H-18A/1 (20В, 1,4Дж, 2-х реж,бур 18мм, sds-plus,1акб Li-Ion 2Ач, ЗУ 3А,кейс)",8660,8090,0,3.64,0.012,6926619700039
31,,PBH20H-18A,"Аккум. перфоратор PBH20H-18A SOLO (20В, 1,4Дж, 2-х реж. макс.бур 18мм, sds-plus, коробка)",5075,4740,8,1.8,0.005,6926619700008
